consulta,categoria,respuesta,respuestas_compuestas,consulta_
¿Dónde están los laboratorios especializados?,instalaciones,"Los laboratorios especializados se ubican en el edificio D. En el primer piso están los laboratorios de química y biología, en el segundo los de física e ingeniería, y en el tercero los de computación avanzada. El acceso es controlado y requiere autorización del profesor responsable.","¿Dónde están los laboratorios especializados? Los laboratorios especializados se ubican en el edificio D. En el primer piso están los laboratorios de química y biología, en el segundo los de física e ingeniería, y en el tercero los de computación avanzada. El acceso es controlado y requiere autorización del profesor responsable.",¿Dónde están los laboratorios especializados? instalaciones
¿Hay zonas de estudio al aire libre?,instalaciones,"Sí, tenemos áreas de estudio al aire libre en los jardines centrales y en la plaza principal. Estas zonas cuentan con mesas, bancas, conexiones eléctricas y cobertura WiFi. Son espacios ideales para estudiar en grupo o individualmente cuando el clima es favorable.","¿Hay zonas de estudio al aire libre? Sí, tenemos áreas de estudio al aire libre en los jardines centrales y en la plaza principal. Estas zonas cuentan con mesas, bancas, conexiones eléctricas y cobertura WiFi. Son espacios ideales para estudiar en grupo o individualmente cuando el clima es favorable.",¿Hay zonas de estudio al aire libre? instalaciones
¿Dónde puedo hacer pagos de servicios escolares?,instalaciones,"La caja para realizar pagos de servicios escolares se encuentra en el edificio administrativo, planta baja, junto a servicios escolares. Atiende de lunes a viernes de 8:00 AM a 3:00 PM y de 4:00 PM a 7:00 PM. Acepta efectivo, tarjetas de débito y crédito.","¿Dónde puedo hacer pagos de servicios escolares? La caja para realizar pagos de servicios escolares se encuentra en el edificio administrativo, planta baja, junto a servicios escolares. Atiende de lunes a viernes de 8:00 AM a 3:00 PM y de 4:00 PM a 7:00 PM. Acepta efectivo, tarjetas de débito y crédito.",¿Dónde puedo hacer pagos de servicios escolares? instalaciones
¿Cuáles son los requisitos para graduarse?,requisitos,"Los requisitos para graduación incluyen: haber aprobado todas las materias del plan de estudios, cumplir con el servicio social, acreditar el nivel de inglés requerido por tu carrera, no tener adeudos en biblioteca o finanzas, y completar el proceso de titulación elegido.","¿Cuáles son los requisitos para graduarse? Los requisitos para graduación incluyen: haber aprobado todas las materias del plan de estudios, cumplir con el servicio social, acreditar el nivel de inglés requerido por tu carrera, no tener adeudos en biblioteca o finanzas, y completar el proceso de titulación elegido.",¿Cuáles son los requisitos para graduarse? requisitos
¿Qué nivel de inglés necesito?,requisitos,"El requisito de inglés varía según la carrera. En general, se requiere un nivel B1 del Marco Común Europeo. Puedes acreditarlo con un certificado oficial (TOEFL, Cambridge, etc.) o presentando un examen en nuestro centro de idiomas.","¿Qué nivel de inglés necesito? El requisito de inglés varía según la carrera. En general, se requiere un nivel B1 del Marco Común Europeo. Puedes acreditarlo con un certificado oficial (TOEFL, Cambridge, etc.) o presentando un examen en nuestro centro de idiomas.",¿Qué nivel de inglés necesito? requisitos
¿Cómo hago mi servicio social?,requisitos,"Para iniciar tu servicio social debes haber cubierto el 70% de créditos de tu carrera. Acude al departamento de vinculación para conocer las plazas disponibles, selecciona una opción, registra tu solicitud y cumple 480 horas de servicio durante un periodo mínimo de 6 meses.","¿Cómo hago mi servicio social? Para iniciar tu servicio social debes haber cubierto el 70% de créditos de tu carrera. Acude al departamento de vinculación para conocer las plazas disponibles, selecciona una opción, registra tu solicitud y cumple 480 horas de servicio durante un periodo mínimo de 6 meses.",¿Cómo hago mi servicio social? requisitos
¿Cuántos créditos necesito para titularme?,requisitos,"Necesitas completar 100% de los créditos establecidos en tu plan de estudios. Para carreras de licenciatura son generalmente 300 créditos, pero varía según el programa académico. Puedes consultar tu avance de créditos en el portal estudiantil.","¿Cuántos créditos necesito para titularme? Necesitas completar 100% de los créditos establecidos en tu plan de estudios. Para carreras de licenciatura son generalmente 300 créditos, pero varía según el programa académico. Puedes consultar tu avance de créditos en el portal estudiantil.",¿Cuántos créditos necesito para titularme? requisitos
¿Qué opciones de titulación existen?,requisitos,"Las opciones de titulación incluyen: tesis, tesina, proyecto de investigación, promedio sobresaliente (9.0 o superior), examen general de conocimientos, estudios de posgrado y experiencia profesional comprobada. Cada opción tiene requisitos específicos que puedes consultar en la coordinación de titulación.","¿Qué opciones de titulación existen? Las opciones de titulación incluyen: tesis, tesina, proyecto de investigación, promedio sobresaliente (9.0 o superior), examen general de conocimientos, estudios de posgrado y experiencia profesional comprobada. Cada opción tiene requisitos específicos que puedes consultar en la coordinación de titulación.",¿Qué opciones de titulación existen? requisitos
¿Necesito realizar prácticas profesionales?,requisitos,"Sí, las prácticas profesionales son obligatorias para todas las carreras y debes completar un mínimo de 240 horas. Puedes iniciarlas después de cubrir el 60% de los créditos de tu plan de estudios. El departamento de vinculación te orientará sobre el proceso.","¿Necesito realizar prácticas profesionales? Sí, las prácticas profesionales son obligatorias para todas las carreras y debes completar un mínimo de 240 horas. Puedes iniciarlas después de cubrir el 60% de los créditos de tu plan de estudios. El departamento de vinculación te orientará sobre el proceso.",¿Necesito realizar prácticas profesionales? requisitos
¿Cuántas materias puedo reprobar?,requisitos,"El reglamento académico permite reprobar hasta 3 materias por semestre sin causar baja temporal. Sin embargo, deberás recursarlas en el siguiente periodo que se ofrezcan. Si repruebas la misma materia 3 veces consecutivas, causarás baja definitiva del programa.","¿Cuántas materias puedo reprobar? El reglamento académico permite reprobar hasta 3 materias por semestre sin causar baja temporal. Sin embargo, deberás recursarlas en el siguiente periodo que se ofrezcan. Si repruebas la misma materia 3 veces consecutivas, causarás baja definitiva del programa.",¿Cuántas materias puedo reprobar? requisitos
¿Qué promedio necesito para mantener mi beca?,requisitos,"Para mantener cualquier tipo de beca institucional debes conservar un promedio mínimo de 8.5 en cada periodo, no reprobar materias y cumplir con el 90% de asistencia a clases. La evaluación se realiza al final de cada semestre.","¿Qué promedio necesito para mantener mi beca? Para mantener cualquier tipo de beca institucional debes conservar un promedio mínimo de 8.5 en cada periodo, no reprobar materias y cumplir con el 90% de asistencia a clases. La evaluación se realiza al final de cada semestre.",¿Qué promedio necesito para mantener mi beca? requisitos
¿Cuánto tiempo tengo para terminar mi carrera?,requisitos,"El tiempo máximo para concluir tus estudios es de 1.5 veces la duración normal del programa. Por ejemplo, si tu carrera es de 8 semestres, tienes hasta 12 semestres para completarla. Después de este plazo, deberás solicitar una extensión especial sujeta a evaluación.","¿Cuánto tiempo tengo para terminar mi carrera? El tiempo máximo para concluir tus estudios es de 1.5 veces la duración normal del programa. Por ejemplo, si tu carrera es de 8 semestres, tienes hasta 12 semestres para completarla. Después de este plazo, deberás solicitar una extensión especial sujeta a evaluación.",¿Cuánto tiempo tengo para terminar mi carrera? requisitos
¿Qué certificaciones adicionales necesito para mi carrera?,requisitos,"Además del inglés, algunas carreras requieren certificaciones específicas. Ingeniería requiere certificación en AutoCAD, Contaduría en software contable, Sistemas en desarrollo web y Diseño en Adobe Creative Suite. Consulta los requisitos específicos de tu programa en la coordinación.","¿Qué certificaciones adicionales necesito para mi carrera? Además del inglés, algunas carreras requieren certificaciones específicas. Ingeniería requiere certificación en AutoCAD, Contaduría en software contable, Sistemas en desarrollo web y Diseño en Adobe Creative Suite. Consulta los requisitos específicos de tu programa en la coordinación.",¿Qué certificaciones adicionales necesito para mi carrera? requisitos
¿Necesito presentar un examen general de egreso?,requisitos,"Sí, todas las carreras requieren presentar el Examen General de Egreso (EGEL) como requisito de titulación. Este examen evalúa los conocimientos y habilidades adquiridos durante tu formación. No es necesario aprobarlo, pero sí presentarlo para completar tu proceso de titulación.","¿Necesito presentar un examen general de egreso? Sí, todas las carreras requieren presentar el Examen General de Egreso (EGEL) como requisito de titulación. Este examen evalúa los conocimientos y habilidades adquiridos durante tu formación. No es necesario aprobarlo, pero sí presentarlo para completar tu proceso de titulación.",¿Necesito presentar un examen general de egreso? requisitos
¿Qué documentos necesito para mi ceremonia de graduación?,requisitos,"Para participar en la ceremonia de graduación necesitas: carta de liberación de servicio social, constancia de no adeudo en biblioteca, constancia de no adeudo financiero, certificado de inglés, historial académico completo y realizar el pago de la toga y birrete.","¿Qué documentos necesito para mi ceremonia de graduación? Para participar en la ceremonia de graduación necesitas: carta de liberación de servicio social, constancia de no adeudo en biblioteca, constancia de no adeudo financiero, certificado de inglés, historial académico completo y realizar el pago de la toga y birrete.",¿Qué documentos necesito para mi ceremonia de graduación? requisitos
